sample_period,date,site,transect,aphid_presence,gps,distance,bromus inermis,thinopyrum intermedium ssp intermedium,alopecurus pratensis,arrhenatherum elatius,phalaris arundinacea,bromus tectorum,pseudoroegneria spicata,aegilops cylindrica,agropyron cristatum,agrostis stolonifera,alopecurus arundinaceus,avena fatua,bromus hordeaceus,bromus arvensis,bromus marginatus,bromus japonicus,bromus sterilis,b. marginatus/ b. hordaceus,b. inermis/ a. pratensis,bromus undet.,calamagrostis rubescens,carex geyeri,carex hoodii,carex microptera,carex undet.,dactylis glomerata,danthonia californica,deschampsia elongata,elymus trachycaulus ssp trachycaulus,elymus glaucus ssp glaucus,elymus lanceolatus ssp lancelatus,elymus repens,elymus undet.,festuca idahoensis,festuca occidentalis,festuca rubra,festuca undet.,p. spicata/f. idahoensis,hordeum murinum ssp glaucum,juncus saximontanus,juncus undet.,koeleria macrantha,leymus cinereus,lolium perenne,pascopyrum smithii,phleum pratense,poa pratensis,poa compressa,poa secunda,poa bulbosa ssp vivipara,p. compressa/p. pratensis,schedonorous arundinaceus,secale cereale,taeniatherum caput-medusae,thinopyrum intermedium ssp barbulatum,triticum aestivum,ventenata dubia,vulpia bromoides,vulpia myuros,Unknown,Unknown green stringy bunchgrass (S2 is this greener thinner needle?),unknown wheatgrass,Dainty TBD
s1,5/10/2021,Petty,1,yes,"46.1848812, -117.2401962",0_1,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,1,,,1_2,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,1,,,2_3,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,1,,,3_4,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,1,,,4_5,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,1,,,5_6,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,1,,,6_7,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,1,,,7_8,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,1,,,8_9,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,1,,,9_10,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,2,no,"46.1845225, -117.2403589",0_1,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,2,,,1_2,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,2,,,2_3,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,2,,,3_4,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,2,,,4_5,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,2,,,5_6,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,2,,,6_7,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,2,,,7_8,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,2,,,8_9,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,2,,,9_10,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,3,no,"46.1835297, -117.2319565",0_1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,3,,,1_2,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,3,,,2_3,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,3,,,3_4,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,3,,,4_5,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,3,,,5_6,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,3,,,6_7,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,3,,,7_8,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,3,,,8_9,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,3,,,9_10,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,
s1,5/10/2021,Petty,4,yes,"46.1839562, -117.2322110",0_1,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,
s1,5/10/2021,Petty,4,,,1_2,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,
s1,5/10/2021,Petty,4,,,2_3,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
